id,clinic_id,partner_id,code,code_name,description,discount_type,discount_value,start_date,end_date,usage_limit,current_usage,is_active,created_at,updated_at
00974444-b16f-49e6-ba98-e7607406c580,595cd444-e89c-4d1f-b31f-27f76f59e0d7,0f27ca23-e75c-40d0-b55f-18a5cd112f82,E2E1780828774264,,,percentage,15.00,,,,0,true,2026-06-07 10:39:34.537564+00,2026-06-07 10:39:34.537564+00
026d4b8b-2495-4c22-83f8-c63d8ec34e2b,595cd444-e89c-4d1f-b31f-27f76f59e0d7,e7500ce9-49ae-4c82-b5c2-a540d77e776e,AMAN15,,,percentage,10.00,,,,0,true,2026-06-07 12:41:15.43472+00,2026-06-07 12:41:15.43472+00
34a49112-1495-40a2-b805-6398da0b0cd9,595cd444-e89c-4d1f-b31f-27f76f59e0d7,2b2d419a-0884-4c4f-bd0d-1d8bf77104ef,KRI10,,,percentage,90.00,,,,0,true,2026-06-07 13:44:25.663419+00,2026-06-07 13:44:25.663419+00
424cf748-03b8-4715-8127-2c461a824787,595cd444-e89c-4d1f-b31f-27f76f59e0d7,2b2d419a-0884-4c4f-bd0d-1d8bf77104ef,V99,,,percentage,99.00,,,,0,true,2026-06-08 15:17:51.269176+00,2026-06-08 15:17:51.269176+00
5b37eb01-c988-4a97-9eee-3a9a71e6c150,595cd444-e89c-4d1f-b31f-27f76f59e0d7,54077791-ad33-44ce-b14c-2bdee3471134,E2E1780828654413,,,percentage,15.00,,,,0,true,2026-06-07 10:37:34.702703+00,2026-06-07 10:37:34.702703+00
616e3f5e-996f-4ca2-9661-7e5fa16b3fa9,595cd444-e89c-4d1f-b31f-27f76f59e0d7,0c1988de-b11e-431e-950b-a0e56868cbeb,E2E1780828515479,,,percentage,15.00,,,,0,true,2026-06-07 10:35:15.77423+00,2026-06-07 10:35:15.77423+00
7b029b86-b719-4096-ae3c-bf549ba65a25,595cd444-e89c-4d1f-b31f-27f76f59e0d7,d4fe41b3-955e-47e4-a9ee-d56ccf49a705,E2E1780828892963,,,percentage,15.00,,,,1,true,2026-06-07 10:41:33.243416+00,2026-06-07 10:41:33.243416+00
7b4ed9cc-1b08-45f3-a7ad-1359c48e065e,595cd444-e89c-4d1f-b31f-27f76f59e0d7,2b2d419a-0884-4c4f-bd0d-1d8bf77104ef,K99,,,percentage,90.00,,,,0,true,2026-06-08 14:47:55.080341+00,2026-06-08 14:47:55.080341+00
8f95b5d1-529b-41f2-816f-bf255c0e4eca,595cd444-e89c-4d1f-b31f-27f76f59e0d7,3aff3521-2579-4488-9971-879d649f765f,E2E1780828833015,,,percentage,15.00,,,,0,true,2026-06-07 10:40:33.311224+00,2026-06-07 10:40:33.311224+00
98e571dc-40e3-4888-be71-2899c1f0efca,meditonic,e7500ce9-49ae-4c82-b5c2-a540d77e776e,E2E1780828460998,,,percentage,15.00,,,,0,true,2026-06-07 10:34:21.279974+00,2026-06-07 10:34:21.279974+00
afbb1607-147f-4105-9a0f-a5cba563d52d,595cd444-e89c-4d1f-b31f-27f76f59e0d7,a7662c26-8cdb-4659-8541-e3ae96ebf03f,E2E1780828587540,,,percentage,15.00,,,,0,true,2026-06-07 10:36:27.823127+00,2026-06-07 10:36:27.823127+00
b4951884-4248-414b-ace5-833e582f43cb,595cd444-e89c-4d1f-b31f-27f76f59e0d7,2b2d419a-0884-4c4f-bd0d-1d8bf77104ef,KRI50,,,percentage,50.00,,,,0,true,2026-06-07 13:48:55.980449+00,2026-06-07 13:48:55.980449+00
